cards,class
"[74, 74, 192, 249, 249, 312, 312, 622, 622, 663, 663, 728, 965, 965, 42, 42, 287, 287, 550, 550, 639, 639, 712, 712, 713, 713, 737, 737, 883, 883]",Hunter
"[12, 12, 171, 171, 242, 242, 480, 576, 619, 619, 888, 888, 1220, 1220, 31, 31, 189, 189, 275, 275, 511, 511, 731, 731, 764, 764, 908, 908, 1249, 1249]",Shaman
"[153, 153, 164, 164, 226, 226, 230, 230, 274, 348, 460, 472, 472, 477, 477, 487, 522, 522, 593, 652, 652, 841, 841, 891, 891, 904, 1117, 1226, 31, 132]",Warrior
"[106, 106, 178, 250, 295, 295, 378, 378, 536, 536, 652, 652, 772, 841, 841, 963, 969, 969, 987, 1008, 1163, 1196, 1196, 712, 712, 1143, 1143, 1232, 1243, 1254]",Warrior
"[68, 85, 85, 110, 110, 146, 218, 218, 262, 282, 296, 296, 316, 316, 465, 465, 543, 543, 567, 613, 633, 743, 743, 873, 873, 1013, 1013, 1190, 1251, 1232]",Mage
"[60, 60, 81, 82, 82, 117, 117, 195, 195, 243, 243, 403, 403, 415, 459, 459, 530, 530, 657, 657, 768, 810, 810, 1070, 1070, 342, 342, 350, 350, 782]",Demon Hunter
"[17, 17, 96, 149, 149, 205, 205, 318, 318, 393, 393, 395, 462, 483, 611, 611, 616, 616, 709, 709, 844, 1139, 442, 442, 471, 471, 898, 898, 1034, 1254]",Priest
"[7, 7, 67, 67, 214, 214, 303, 303, 386, 407, 407, 422, 422, 491, 491, 674, 717, 717, 915, 915, 1010, 1101, 1101, 1199, 696, 1189, 1189, 1233, 1248, 1248]",Paladin
"[61, 61, 302, 302, 334, 334, 411, 411, 420, 420, 448, 448, 562, 659, 748, 748, 753, 753, 872, 872, 930, 1131, 1131, 1147, 1147, 1161, 1161, 1183, 1232, 1254]",Druid
"[176, 176, 413, 413, 505, 505, 547, 547, 599, 599, 710, 710, 742, 742, 996, 996, 1003, 1003, 1005, 1005, 1079, 1140, 1201, 1201, 314, 314, 1137, 1143, 1143, 1253]",Warlock
"[195, 436, 436, 501, 501, 530, 595, 687, 687, 812, 812, 886, 886, 899, 1070, 1104, 1104, 1111, 1112, 1112, 1221, 324, 324, 362, 362, 712, 712, 1234, 1243, 1248]",Demon Hunter
"[17, 17, 121, 121, 176, 176, 207, 207, 260, 260, 641, 644, 724, 724, 1140, 1167, 1167, 31, 31, 77, 77, 132, 132, 137, 137, 189, 189, 203, 423, 423]",Warlock
"[12, 12, 151, 151, 171, 171, 242, 242, 576, 619, 619, 664, 664, 888, 888, 938, 1220, 1220, 189, 189, 358, 358, 511, 511, 731, 731, 764, 764, 908, 908]",Shaman
"[7, 29, 67, 214, 303, 328, 351, 377, 404, 556, 593, 717, 761, 848, 870, 885, 893, 942, 1037, 1216, 1245, 31, 453, 755, 1019, 1137, 1213, 1232, 1243, 1254]",Paladin
"[74, 74, 192, 192, 349, 349, 360, 360, 365, 365, 512, 512, 614, 675, 676, 676, 728, 816, 1054, 1084, 1105, 1105, 1181, 1181, 189, 189, 919, 919, 1046, 1046]",Hunter
"[28, 125, 125, 192, 192, 196, 286, 390, 390, 512, 512, 513, 513, 675, 675, 689, 816, 1075, 1075, 1084, 304, 304, 362, 373, 373, 706, 706, 829, 782, 1134]",Hunter
"[12, 28, 61, 89, 126, 272, 302, 334, 370, 379, 411, 448, 467, 470, 479, 609, 659, 775, 801, 840, 917, 1131, 1147, 1161, 1250, 453, 1211, 1213, 1254, 1253]",Druid
"[15, 15, 17, 20, 20, 71, 71, 78, 78, 96, 96, 149, 149, 318, 318, 364, 364, 393, 393, 395, 553, 553, 611, 611, 616, 616, 765, 1034, 1034, 1232]",Priest
"[52, 52, 125, 125, 192, 192, 286, 293, 359, 360, 360, 365, 365, 408, 618, 618, 676, 676, 1054, 1105, 1105, 1181, 1181, 31, 31, 572, 994, 1019, 1046, 1046]",Hunter
"[17, 17, 149, 149, 318, 318, 364, 364, 395, 395, 483, 483, 616, 616, 752, 765, 765, 900, 900, 959, 1118, 1160, 1219, 1219, 1225, 1225, 696, 700, 700, 1232]",Priest
