cards,class
"[57, 57, 64, 70, 176, 176, 195, 195, 243, 403, 415, 415, 455, 455, 459, 459, 530, 530, 662, 662, 749, 894, 894, 1070, 1070, 342, 342, 350, 679, 1232]",Demon Hunter
"[57, 81, 81, 82, 82, 195, 195, 243, 243, 311, 311, 415, 415, 455, 455, 459, 459, 232, 232, 530, 530, 768, 1070, 1070, 79, 213, 234, 350, 350, 782]",Demon Hunter
"[57, 57, 70, 70, 81, 81, 82, 82, 185, 185, 311, 311, 415, 415, 455, 455, 530, 530, 657, 657, 894, 894, 1002, 1070, 1070, 350, 350, 782, 1180, 1232]",Demon Hunter
"[37, 37, 64, 64, 117, 117, 195, 195, 436, 436, 455, 455, 459, 459, 519, 519, 530, 530, 631, 631, 768, 773, 39, 39, 42, 42, 92, 92, 441, 441]",Demon Hunter
"[176, 176, 195, 195, 243, 243, 413, 413, 415, 415, 459, 459, 232, 232, 530, 530, 631, 631, 768, 773, 786, 786, 650, 650, 975, 975, 1070, 1070, 342, 342]",Demon Hunter
"[37, 37, 57, 57, 60, 60, 64, 64, 81, 81, 117, 117, 376, 376, 403, 415, 415, 436, 590, 590, 749, 749, 1042, 5, 5, 372, 372, 583, 745, 745]",Demon Hunter
"[57, 57, 60, 70, 70, 81, 81, 82, 82, 311, 311, 403, 403, 413, 413, 415, 415, 436, 436, 530, 530, 657, 657, 768, 810, 1070, 1070, 350, 350, 782]",Demon Hunter
"[57, 176, 176, 195, 195, 243, 243, 413, 413, 459, 459, 232, 232, 631, 631, 773, 786, 786, 650, 650, 975, 975, 1011, 1011, 1070, 1070, 1221, 342, 342, 442]",Demon Hunter
"[37, 37, 64, 64, 195, 195, 519, 519, 662, 662, 690, 1070, 1070, 39, 39, 42, 42, 92, 92, 107, 107, 237, 237, 257, 257, 449, 449, 441, 441, 782]",Demon Hunter
"[70, 70, 81, 81, 82, 82, 311, 311, 415, 415, 455, 455, 530, 530, 657, 657, 697, 697, 768, 810, 1070, 1070, 79, 79, 234, 339, 339, 350, 350, 782]",Demon Hunter
"[37, 37, 64, 64, 117, 117, 195, 195, 243, 243, 455, 455, 662, 662, 42, 42, 92, 92, 107, 107, 111, 111, 326, 326, 449, 449, 441, 441, 745, 745]",Demon Hunter
"[57, 57, 70, 70, 82, 82, 185, 185, 311, 311, 415, 415, 455, 455, 530, 530, 657, 657, 894, 894, 1002, 1070, 1070, 350, 350, 713, 713, 1180, 1232, 1254]",Demon Hunter
"[57, 57, 81, 81, 82, 82, 195, 195, 243, 243, 311, 311, 415, 415, 455, 455, 459, 459, 232, 232, 530, 530, 768, 773, 1070, 1070, 234, 350, 350, 453]",Demon Hunter
"[37, 37, 64, 64, 195, 195, 519, 519, 662, 662, 690, 1070, 1070, 39, 39, 42, 42, 92, 92, 107, 107, 237, 237, 257, 257, 449, 449, 441, 441, 782]",Demon Hunter
"[37, 37, 57, 57, 60, 60, 64, 64, 117, 117, 163, 163, 195, 195, 243, 243, 415, 415, 662, 662, 690, 1070, 1070, 42, 42, 92, 92, 107, 107, 782]",Demon Hunter
"[57, 57, 243, 243, 311, 311, 415, 415, 436, 436, 501, 501, 538, 538, 575, 575, 687, 687, 812, 812, 1070, 1070, 1111, 1111, 1112, 1112, 251, 251, 706, 706]",Demon Hunter
"[37, 37, 57, 60, 60, 64, 117, 195, 195, 376, 376, 415, 415, 436, 519, 519, 662, 662, 42, 42, 92, 92, 107, 107, 237, 237, 449, 449, 441, 441]",Demon Hunter
"[37, 37, 57, 64, 64, 195, 195, 519, 519, 662, 662, 690, 1070, 1070, 39, 39, 42, 42, 92, 92, 107, 237, 237, 257, 257, 449, 449, 441, 441, 782]",Demon Hunter
"[37, 37, 57, 57, 60, 60, 64, 64, 70, 70, 195, 195, 243, 243, 376, 376, 415, 415, 519, 519, 530, 530, 590, 590, 690, 1070, 1070, 39, 39, 107]",Demon Hunter
"[57, 57, 60, 60, 82, 82, 195, 195, 243, 243, 311, 311, 415, 415, 455, 455, 459, 459, 530, 530, 690, 812, 812, 1070, 1070, 350, 350, 453, 782, 1232]",Demon Hunter
"[37, 37, 57, 57, 60, 60, 117, 117, 195, 195, 376, 376, 436, 436, 519, 519, 662, 662, 39, 39, 42, 42, 92, 92, 107, 107, 449, 449, 441, 441]",Demon Hunter
"[288, 288, 501, 501, 538, 538, 595, 595, 769, 769, 812, 812, 894, 894, 899, 899, 1070, 1070, 1111, 1111, 362, 362, 506, 506, 507, 507, 713, 713, 1232, 1253]",Demon Hunter
"[37, 57, 60]",Demon Hunter
"[37, 37, 64, 64, 195, 195, 436, 436, 501, 501, 687, 687, 690, 812, 812, 1070, 1070, 42, 42, 107, 107, 237, 237, 257, 257, 449, 449, 441, 441, 782]",Demon Hunter
"[37, 60, 60, 64, 64, 117, 117, 195, 195, 436, 455, 455, 519, 519, 662, 662, 39, 39, 42, 42, 92, 92, 107, 107, 237, 237, 449, 449, 441, 441]",Demon Hunter
"[57, 176, 176, 195, 195, 243, 243, 413, 413, 459, 459, 232, 232, 631, 631, 768, 773, 786, 786, 650, 650, 975, 975, 1011, 1011, 1070, 1070, 1140, 342, 342]",Demon Hunter
"[60, 60, 70, 70, 81, 82, 82, 195, 195, 243, 243, 311, 311, 455, 459, 459, 232, 232, 530, 530, 768, 810, 1070, 1070, 79, 79, 213, 234, 350, 350]",Demon Hunter
"[37, 37, 57, 57, 64, 176, 176, 195, 195, 436, 436, 232, 232, 530, 530, 786, 786, 975, 975, 1002, 1011, 1070, 1070, 1140, 107, 107, 449, 449, 441, 441]",Demon Hunter
"[37, 37, 57, 57, 64, 64, 117, 117, 195, 195, 455, 455, 519, 519, 662, 662, 39, 39, 42, 42, 107, 107, 209, 209, 212, 212, 449, 449, 441, 441]",Demon Hunter
"[57, 70, 81, 176, 195, 298, 403, 413, 459, 232, 530, 575, 595, 768, 773, 786, 650, 835, 894, 928, 975, 1002, 1070, 1140, 442, 453, 679, 783, 1110, 1213]",Demon Hunter
"[37, 37, 64, 64, 195, 195, 519, 519, 690, 1070, 1070, 39, 39, 42, 42, 92, 92, 107, 107, 237, 237, 257, 257, 449, 449, 441, 441, 713, 713, 782]",Demon Hunter
"[57, 176, 176, 195, 195, 243, 243, 413, 413, 459, 459, 232, 232, 631, 631, 768, 773, 786, 786, 650, 650, 975, 975, 1011, 1011, 1070, 1070, 1140, 342, 342]",Demon Hunter
"[37, 37, 64, 64, 195, 195, 436, 436, 519, 519, 662, 662, 690, 1070, 1070, 39, 39, 42, 42, 92, 92, 107, 107, 237, 237, 449, 449, 441, 441, 782]",Demon Hunter
"[57, 176, 176, 195, 195, 243, 243, 413, 413, 459, 459, 232, 232, 631, 631, 768, 773, 786, 786, 650, 650, 975, 975, 1011, 1011, 1070, 1070, 1140, 342, 342]",Demon Hunter
"[37, 37, 64, 64, 117, 195, 195, 243, 243, 415, 415, 436, 436, 519, 519, 662, 662, 773, 42, 42, 92, 92, 107, 107, 237, 237, 449, 449, 441, 441]",Demon Hunter
"[37, 37, 195, 195, 200, 200, 243, 243, 403, 403, 436, 436, 459, 459, 501, 501, 530, 530, 637, 637, 690, 769, 894, 899, 899, 928, 928, 1113, 1178, 1221]",Demon Hunter
"[64, 64, 298, 298, 455, 455, 662, 662, 773, 786, 1070, 1070, 123, 123, 124, 124, 190, 190, 290, 290, 352, 352, 449, 449, 498, 498, 610, 610, 740, 740]",Demon Hunter
"[57, 57, 459, 459, 530, 530, 575, 575, 595, 595, 657, 657, 697, 697, 812, 812, 894, 894, 1002, 1070, 1070, 234, 744, 924, 924, 782, 1019, 1109, 1243, 1253]",Demon Hunter
"[37, 57, 60, 70, 81, 163, 200, 403, 436, 501, 530, 595, 687, 690, 769, 855, 899, 1000, 1070, 1111, 1112, 1176, 1221, 314, 362, 372, 725, 955, 1050, 1211]",Demon Hunter
"[64, 64, 176, 176, 288, 288, 436, 436, 501, 501, 637, 637, 687, 687, 812, 812, 899, 899, 1070, 1070, 1104, 1104, 1111, 1111, 1112, 1112, 507, 507, 1142, 1142]",Demon Hunter
"[37, 37, 60, 64, 117, 117, 195, 195, 376, 376, 415, 415, 436, 436, 519, 519, 662, 662, 42, 42, 92, 92, 107, 107, 237, 237, 449, 449, 441, 441]",Demon Hunter
"[37, 37, 195, 195, 200, 200, 243, 243, 288, 288, 403, 403, 436, 436, 501, 501, 530, 530, 637, 637, 687, 687, 690, 769, 769, 899, 899, 928, 928, 1221]",Demon Hunter
"[37, 37, 57, 57, 64, 64, 195, 195, 436, 436, 637, 637, 690, 773, 786, 786, 928, 928, 1070, 1070, 107, 107, 132, 132, 342, 342, 442, 442, 898, 898]",Demon Hunter
"[37, 37, 64, 64, 117, 117, 195, 195, 436, 436, 455, 455, 519, 519, 39, 39, 42, 42, 92, 92, 107, 107, 237, 237, 257, 257, 449, 449, 441, 441]",Demon Hunter
"[176, 176, 195, 195, 243, 243, 413, 413, 459, 459, 232, 232, 575, 575, 631, 768, 773, 786, 786, 650, 650, 975, 975, 1011, 1011, 1070, 1070, 1140, 342, 342]",Demon Hunter
"[37, 37, 64, 64, 117, 117, 195, 195, 436, 436, 455, 455, 519, 519, 690, 1070, 39, 39, 42, 42, 92, 92, 107, 107, 237, 237, 449, 449, 441, 441]",Demon Hunter
"[37, 37, 57, 57, 60, 60, 64, 64, 195, 195, 376, 376, 415, 415, 455, 455, 519, 519, 530, 530, 590, 590, 690, 855, 855, 946, 1070, 1070, 132, 132]",Demon Hunter
"[64, 176, 176, 195, 195, 243, 243, 288, 288, 436, 436, 501, 501, 519, 687, 687, 690, 773, 886, 899, 899, 1070, 1070, 1111, 1111, 1112, 1221, 31, 324, 324]",Demon Hunter
"[37, 37, 64, 64, 195, 195, 519, 519, 662, 662, 690, 1070, 1070, 39, 39, 42, 42, 92, 92, 107, 107, 237, 237, 257, 257, 449, 449, 441, 441, 782]",Demon Hunter
"[64, 64, 176, 176, 288, 413, 413, 501, 501, 687, 687, 786, 786, 812, 812, 899, 899, 975, 975, 1002, 1070, 1070, 1111, 1111, 1112, 1112, 1140, 324, 362, 362]",Demon Hunter
"[60, 60, 81, 82, 82, 117, 117, 195, 195, 243, 243, 403, 403, 415, 459, 459, 530, 530, 657, 657, 768, 810, 810, 1070, 1070, 342, 342, 350, 350, 782]",Demon Hunter
"[57, 176, 176, 195, 195, 243, 243, 413, 413, 459, 459, 232, 232, 631, 631, 768, 773, 786, 786, 650, 650, 975, 975, 1011, 1011, 1070, 1070, 1140, 342, 342]",Demon Hunter
"[37, 37, 64, 64, 117, 117, 195, 195, 436, 436, 455, 455, 519, 519, 662, 662, 39, 39, 42, 42, 92, 92, 107, 107, 237, 237, 449, 449, 441, 441]",Demon Hunter
"[57, 57, 60, 60, 64, 70, 70, 81, 117, 117, 376, 376, 403, 403, 415, 415, 519, 519, 530, 530, 590, 590, 749, 749, 769, 769, 855, 855, 1070, 1070]",Demon Hunter
"[176, 176, 195, 195, 243, 243, 413, 413, 459, 459, 232, 232, 768, 773, 786, 786, 650, 650, 975, 975, 1011, 1011, 1070, 1070, 1140, 132, 342, 342, 442, 442]",Demon Hunter
"[3, 3, 176, 176, 195, 195, 243, 243, 413, 413, 415, 459, 459, 232, 232, 786, 786, 650, 650, 899, 899, 975, 975, 1070, 1070, 1140, 442, 442, 782, 1254]",Demon Hunter
"[37, 37, 64, 64, 117, 117, 195, 195, 436, 436, 455, 455, 519, 519, 631, 662, 662, 773, 39, 39, 42, 42, 92, 92, 257, 257, 449, 449, 441, 441]",Demon Hunter
"[60, 60, 288, 288, 311, 311, 415, 415, 436, 436, 501, 501, 687, 687, 812, 812, 899, 899, 1070, 1070, 1111, 1111, 1112, 1112, 1221, 39, 39, 362, 362, 784]",Demon Hunter
"[57, 57, 70, 70, 81, 81, 82, 195, 195, 243, 243, 459, 459, 232, 232, 530, 530, 657, 690, 768, 1070, 1070, 234, 342, 342, 350, 350, 442, 442, 782]",Demon Hunter
"[37, 37, 64, 64, 117, 117, 195, 195, 436, 436, 455, 519, 519, 637, 637, 773, 1070, 1070, 39, 39, 42, 42, 92, 92, 237, 237, 449, 449, 441, 441]",Demon Hunter
"[64, 64, 200, 200, 288, 288, 436, 436, 501, 501, 687, 687, 690, 812, 812, 886, 886, 899, 899, 1070, 1070, 1111, 1111, 1112, 1112, 1221, 449, 449, 507, 507]",Demon Hunter
"[185, 185, 195, 195, 311, 311, 415, 415, 454, 530, 575, 575, 894, 894, 1070, 1070, 506, 506, 713, 713, 924, 924, 1019, 1019, 1028, 1028, 1232, 1243, 1254, 1253]",Demon Hunter
"[60, 64, 82, 185, 195, 243, 311, 403, 415, 436, 455, 459, 519, 575, 595, 657, 768, 835, 894, 928, 1002, 1070, 1162, 350, 442, 453, 784, 1213, 1232, 1254]",Demon Hunter
"[64, 64, 81, 81, 185, 185, 311, 311, 413, 413, 530, 530, 786, 786, 650, 650, 831, 831, 894, 894, 1029, 1029, 1070, 1070, 1176, 1176, 1206, 1206, 1224, 1224]",Demon Hunter
"[37, 37, 57, 64, 64, 117, 117, 195, 195, 436, 436, 455, 455, 519, 519, 662, 662, 773, 39, 39, 42, 42, 92, 92, 107, 107, 449, 449, 441, 441]",Demon Hunter
"[37, 37, 57, 64, 64, 117, 117, 195, 195, 436, 436, 455, 455, 519, 519, 631, 662, 662, 39, 39, 42, 42, 92, 92, 257, 257, 449, 449, 441, 441]",Demon Hunter
"[57, 57, 70, 70, 81, 82, 82, 195, 195, 243, 243, 459, 459, 232, 232, 530, 530, 657, 657, 690, 768, 1070, 1070, 342, 342, 350, 350, 442, 442, 782]",Demon Hunter
"[176, 176, 195, 195, 243, 243, 413, 413, 459, 459, 232, 232, 631, 631, 662, 662, 768, 773, 786, 786, 650, 650, 975, 975, 1011, 1011, 1070, 1070, 342, 342]",Demon Hunter
"[70, 81, 81, 82, 82, 185, 185, 311, 311, 413, 413, 415, 415, 455, 455, 459, 459, 530, 530, 768, 786, 894, 894, 1070, 1070, 1104, 1104, 79, 350, 350]",Demon Hunter
"[37, 37, 57, 64, 64, 117, 117, 195, 195, 243, 243, 415, 436, 436, 232, 232, 631, 39, 39, 42, 42, 92, 92, 107, 107, 342, 449, 449, 441, 441]",Demon Hunter
"[37, 37, 60, 60, 64, 64, 117, 117, 195, 195, 436, 436, 519, 519, 662, 662, 39, 39, 42, 42, 92, 92, 107, 107, 237, 237, 449, 449, 441, 441]",Demon Hunter
"[37, 37, 57, 60, 60, 64, 64, 81, 195, 195, 376, 376, 415, 415, 436, 436, 519, 519, 530, 530, 590, 637, 637, 662, 690, 773, 1070, 1070, 39, 107]",Demon Hunter
"[57, 57, 82, 82, 185, 185, 195, 195, 243, 243, 311, 311, 415, 415, 455, 455, 459, 459, 530, 530, 575, 575, 631, 631, 690, 768, 894, 894, 1070, 1070]",Demon Hunter
"[57, 57, 176, 176, 195, 195, 243, 243, 413, 413, 459, 459, 232, 232, 631, 631, 786, 786, 650, 650, 975, 975, 1011, 1011, 1070, 1070, 342, 342, 442, 442]",Demon Hunter
"[57, 176, 176, 195, 195, 243, 243, 413, 413, 459, 459, 232, 232, 768, 773, 786, 786, 650, 650, 975, 975, 1011, 1011, 1070, 1070, 1140, 132, 132, 342, 342]",Demon Hunter
"[37, 37, 60, 60, 64, 64, 195, 195, 243, 243, 376, 376, 415, 415, 455, 455, 519, 519, 538, 538, 662, 662, 690, 773, 1011, 1011, 1070, 1070, 39, 39]",Demon Hunter
"[37, 37, 57, 57, 60, 60, 64, 64, 70, 70, 195, 195, 243, 243, 376, 376, 415, 415, 519, 519, 530, 530, 590, 590, 690, 1070, 1070, 39, 39, 107]",Demon Hunter
"[176, 176, 195, 195, 243, 243, 413, 413, 459, 459, 232, 232, 631, 768, 773, 786, 786, 650, 650, 975, 975, 1011, 1011, 1070, 1070, 1140, 342, 342, 442, 442]",Demon Hunter
"[37, 37, 57, 57, 60, 60, 163, 163, 194, 194, 195, 195, 243, 243, 436, 436, 455, 455, 232, 232, 519, 519, 530, 530, 631, 631, 662, 662, 1011, 1011]",Demon Hunter
"[3, 60, 82, 176, 176, 185, 185, 357, 413, 413, 415, 459, 459, 575, 575, 631, 697, 768, 894, 894, 1000, 1070, 1070, 1111, 1132, 1162, 1135, 1205, 1232, 1254]",Demon Hunter
"[3, 3, 176, 176, 195, 195, 243, 243, 413, 413, 415, 459, 459, 232, 232, 786, 786, 650, 650, 899, 899, 975, 975, 1070, 1070, 1140, 442, 442, 782, 1254]",Demon Hunter
"[57, 57, 60, 60, 70, 70, 176, 176, 185, 185, 243, 243, 311, 311, 403, 403, 413, 413, 415, 415, 454, 455, 455, 530, 530, 650, 650, 1070, 1070, 1232]",Demon Hunter
"[57, 176, 176, 195, 195, 243, 243, 413, 413, 459, 459, 232, 232, 631, 631, 768, 773, 786, 786, 650, 650, 975, 975, 1011, 1011, 1070, 1070, 1140, 342, 342]",Demon Hunter
"[37, 37, 60, 60, 64, 64, 117, 117, 163, 163, 195, 195, 200, 200, 415, 415, 436, 436, 455, 455, 637, 637, 662, 662, 39, 39, 107, 107, 442, 442]",Demon Hunter
"[57, 57, 176, 176, 195, 195, 243, 413, 413, 459, 459, 232, 232, 530, 530, 631, 773, 786, 786, 650, 650, 975, 975, 1011, 1011, 1070, 1070, 1140, 213, 213]",Demon Hunter
"[117, 176, 176, 185, 195, 195, 243, 243, 413, 413, 415, 415, 459, 459, 232, 232, 786, 786, 650, 650, 975, 975, 1011, 1011, 1070, 1070, 342, 342, 442, 442]",Demon Hunter
"[37, 37, 57, 64, 64, 117, 163, 163, 195, 195, 436, 436, 455, 455, 519, 519, 530, 662, 662, 773, 39, 39, 42, 42, 92, 92, 107, 107, 441, 441]",Demon Hunter
"[37, 37, 60, 60, 70, 185, 185, 195, 195, 298, 298, 376, 376, 415, 415, 454, 455, 455, 519, 519, 530, 530, 590, 590, 637, 690, 928, 1002, 1070, 1070]",Demon Hunter
"[176, 176, 195, 195, 243, 243, 413, 413, 415, 415, 459, 459, 232, 232, 662, 662, 786, 786, 650, 650, 928, 928, 975, 975, 1011, 1011, 1070, 1070, 1140, 342]",Demon Hunter
"[176, 176, 195, 195, 243, 243, 413, 413, 455, 455, 459, 459, 232, 232, 538, 538, 631, 631, 786, 786, 650, 650, 975, 975, 1011, 1011, 1070, 1070, 342, 342]",Demon Hunter
"[82, 82, 185, 185, 288, 288, 501, 501, 575, 575, 687, 687, 812, 812, 899, 1002, 1070, 1070, 1111, 1111, 1112, 1112, 1221, 31, 304, 304, 324, 324, 362, 362]",Demon Hunter
