cards,class
"[17, 71, 149, 205, 318, 364, 393, 395, 462, 483, 594, 604, 605, 611, 616, 709, 765, 1118, 1139, 1168, 1185, 1225, 31, 442, 445, 453, 898, 1048, 1135, 1213]",Priest
"[171, 171, 180, 180, 437, 437, 597, 597, 684, 684, 820, 887, 887, 123, 123, 124, 124, 190, 190, 352, 352, 498, 498, 610, 610, 441, 441, 740, 740, 744]",Shaman
"[2, 2, 16, 16, 19, 19, 41, 41, 133, 159, 159, 204, 204, 267, 267, 281, 281, 292, 292, 367, 397, 427, 427, 527, 521, 521, 939, 453, 624, 624]",Rogue
"[7, 7, 50, 50, 214, 214, 303, 303, 351, 490, 490, 508, 508, 636, 636, 701, 701, 885, 885, 943, 39, 189, 189, 449, 449, 507, 441, 441, 1249, 1249]",Paladin
"[57, 176, 176, 195, 195, 243, 243, 413, 413, 459, 459, 232, 232, 631, 631, 768, 773, 786, 786, 650, 650, 975, 975, 1011, 1011, 1070, 1070, 1140, 342, 342]",Demon Hunter
"[135, 356, 356, 435, 435, 505, 505, 514, 514, 547, 547, 599, 599, 710, 710, 742, 742, 901, 901, 1005, 1005, 1079, 1119, 1201, 712, 712, 1048, 1135, 1205, 1253]",Warlock
"[2, 2, 16, 19, 19, 133, 133, 204, 204, 245, 281, 281, 292, 292, 389, 427, 427, 430, 438, 438, 497, 527, 521, 521, 670, 670, 944, 1035, 1232, 1254]",Rogue
"[10, 10, 12, 12, 126, 126, 302, 302, 659, 685, 685, 801, 801, 872, 872, 1053, 1053, 1131, 1131, 1147, 1147, 1161, 1161, 1250, 1250, 1143, 1143, 1211, 1211, 1254]",Druid
"[17, 17, 84, 84, 173, 173, 176, 176, 202, 202, 207, 207, 260, 260, 284, 321, 632, 632, 795, 795, 1038, 1038, 1167, 1167, 31, 31, 189, 189, 449, 449]",Warlock
"[2, 2, 16, 16, 19, 19, 41, 41, 133, 159, 159, 204, 204, 267, 267, 281, 281, 292, 292, 367, 397, 427, 427, 527, 521, 521, 939, 453, 624, 624]",Rogue
"[12, 12, 21, 21, 22, 22, 180, 180, 183, 183, 278, 278, 434, 434, 557, 600, 600, 645, 645, 672, 672, 684, 684, 833, 833, 887, 990, 990, 1063, 1063]",Shaman
